dictionary,type
animal dispers,action
carri,action
consum,action
diet,action
dietari,action
digest,action
dispers,action
endocarp,descriptor
endozoochor,action
endozoochori,action
faecal,action
fecal,action
fece,action
feed,action
fleshi,descriptor
fleshy fruit,descriptor
frugivor,descriptor
frugivori,descriptor
fruit,descriptor
fruit-eat,action
fruit eat,action
gut passag,action
harvest,action
large seed,descriptor
pericarp,descriptor
plant frugivor,descriptor
remov,action
scatter,action
scatterhoard,action
seed dispers,action
seed eat,action
seed harvest,action
vertebrate dispers,action
 ate ,action
 eat,action
